"Date","Official Bank Rate  						[a] [b] 						IUDBEDR"
"23 Jul 26","3.75"
"22 Jul 26","3.75"
"21 Jul 26","3.75"
"20 Jul 26","3.75"
"17 Jul 26","3.75"
"16 Jul 26","3.75"
"15 Jul 26","3.75"
"14 Jul 26","3.75"
"13 Jul 26","3.75"
"10 Jul 26","3.75"
"09 Jul 26","3.75"
"08 Jul 26","3.75"
"07 Jul 26","3.75"
"06 Jul 26","3.75"
"03 Jul 26","3.75"
"02 Jul 26","3.75"
"01 Jul 26","3.75"
"30 Jun 26","3.75"
"29 Jun 26","3.75"
"26 Jun 26","3.75"
"25 Jun 26","3.75"
"24 Jun 26","3.75"
"23 Jun 26","3.75"
"22 Jun 26","3.75"
"19 Jun 26","3.75"
"18 Jun 26","3.75"
"17 Jun 26","3.75"
"16 Jun 26","3.75"
"15 Jun 26","3.75"
"12 Jun 26","3.75"
"11 Jun 26","3.75"
"10 Jun 26","3.75"
"09 Jun 26","3.75"
"08 Jun 26","3.75"
"05 Jun 26","3.75"
"04 Jun 26","3.75"
"03 Jun 26","3.75"
"02 Jun 26","3.75"
"01 Jun 26","3.75"
"29 May 26","3.75"
"28 May 26","3.75"
"27 May 26","3.75"
"26 May 26","3.75"
"22 May 26","3.75"
"21 May 26","3.75"
"20 May 26","3.75"
"19 May 26","3.75"
"18 May 26","3.75"
"15 May 26","3.75"
"14 May 26","3.75"
"13 May 26","3.75"
"12 May 26","3.75"
"11 May 26","3.75"
"08 May 26","3.75"
"07 May 26","3.75"
"06 May 26","3.75"
"05 May 26","3.75"
"01 May 26","3.75"
"30 Apr 26","3.75"
"29 Apr 26","3.75"
"28 Apr 26","3.75"
"27 Apr 26","3.75"
"24 Apr 26","3.75"
"23 Apr 26","3.75"
"22 Apr 26","3.75"
"21 Apr 26","3.75"
"20 Apr 26","3.75"
"17 Apr 26","3.75"
"16 Apr 26","3.75"
"15 Apr 26","3.75"
"14 Apr 26","3.75"
"13 Apr 26","3.75"
"10 Apr 26","3.75"
"09 Apr 26","3.75"
"08 Apr 26","3.75"
"07 Apr 26","3.75"
"02 Apr 26","3.75"
"01 Apr 26","3.75"
"31 Mar 26","3.75"
"30 Mar 26","3.75"
"27 Mar 26","3.75"
"26 Mar 26","3.75"
"25 Mar 26","3.75"
"24 Mar 26","3.75"
"23 Mar 26","3.75"
"20 Mar 26","3.75"
"19 Mar 26","3.75"
"18 Mar 26","3.75"
"17 Mar 26","3.75"
"16 Mar 26","3.75"
"13 Mar 26","3.75"
"12 Mar 26","3.75"
"11 Mar 26","3.75"
"10 Mar 26","3.75"
"09 Mar 26","3.75"
"06 Mar 26","3.75"
"05 Mar 26","3.75"
"04 Mar 26","3.75"
"03 Mar 26","3.75"
"02 Mar 26","3.75"
"27 Feb 26","3.75"
"26 Feb 26","3.75"
"25 Feb 26","3.75"
"24 Feb 26","3.75"
"23 Feb 26","3.75"
"20 Feb 26","3.75"
"19 Feb 26","3.75"
"18 Feb 26","3.75"
"17 Feb 26","3.75"
"16 Feb 26","3.75"
"13 Feb 26","3.75"
"12 Feb 26","3.75"
"11 Feb 26","3.75"
"10 Feb 26","3.75"
"09 Feb 26","3.75"
"06 Feb 26","3.75"
"05 Feb 26","3.75"
"04 Feb 26","3.75"
"03 Feb 26","3.75"
"02 Feb 26","3.75"
"30 Jan 26","3.75"
"29 Jan 26","3.75"
"28 Jan 26","3.75"
"27 Jan 26","3.75"
"26 Jan 26","3.75"
"23 Jan 26","3.75"
"22 Jan 26","3.75"
"21 Jan 26","3.75"
"20 Jan 26","3.75"
"19 Jan 26","3.75"
"16 Jan 26","3.75"
"15 Jan 26","3.75"
"14 Jan 26","3.75"
"13 Jan 26","3.75"
"12 Jan 26","3.75"
"09 Jan 26","3.75"
"08 Jan 26","3.75"
"07 Jan 26","3.75"
"06 Jan 26","3.75"
"05 Jan 26","3.75"
"02 Jan 26","3.75"
"31 Dec 25","3.75"
"30 Dec 25","3.75"
"29 Dec 25","3.75"
"24 Dec 25","3.75"
"23 Dec 25","3.75"
"22 Dec 25","3.75"
"19 Dec 25","3.75"
"18 Dec 25","3.75"
"17 Dec 25","4"
"16 Dec 25","4"
"15 Dec 25","4"
"12 Dec 25","4"
"11 Dec 25","4"
"10 Dec 25","4"
"09 Dec 25","4"
"08 Dec 25","4"
"05 Dec 25","4"
"04 Dec 25","4"
"03 Dec 25","4"
"02 Dec 25","4"
"01 Dec 25","4"
"28 Nov 25","4"
"27 Nov 25","4"
"26 Nov 25","4"
"25 Nov 25","4"
"24 Nov 25","4"
"21 Nov 25","4"
"20 Nov 25","4"
"19 Nov 25","4"
"18 Nov 25","4"
"17 Nov 25","4"
"14 Nov 25","4"
"13 Nov 25","4"
"12 Nov 25","4"
"11 Nov 25","4"
"10 Nov 25","4"
"07 Nov 25","4"
"06 Nov 25","4"
"05 Nov 25","4"
"04 Nov 25","4"
"03 Nov 25","4"
"31 Oct 25","4"
"30 Oct 25","4"
"29 Oct 25","4"
"28 Oct 25","4"
"27 Oct 25","4"
"24 Oct 25","4"
"23 Oct 25","4"
"22 Oct 25","4"
"21 Oct 25","4"
"20 Oct 25","4"
"17 Oct 25","4"
"16 Oct 25","4"
"15 Oct 25","4"
"14 Oct 25","4"
"13 Oct 25","4"
"10 Oct 25","4"
"09 Oct 25","4"
"08 Oct 25","4"
"07 Oct 25","4"
"06 Oct 25","4"
"03 Oct 25","4"
"02 Oct 25","4"
"01 Oct 25","4"
"30 Sep 25","4"
"29 Sep 25","4"
"26 Sep 25","4"
"25 Sep 25","4"
"24 Sep 25","4"
"23 Sep 25","4"
"22 Sep 25","4"
"19 Sep 25","4"
"18 Sep 25","4"
"17 Sep 25","4"
"16 Sep 25","4"
"15 Sep 25","4"
"12 Sep 25","4"
"11 Sep 25","4"
